date,year,quarter,assets,total_nii,normalized_nii,credit_loss_allowances,card_interchange_fees,earnings_life_insurance,atm_fees,check_printing_fees,fiduciary_activities,sale_mutual_funds,insurcance_commissions,investment_banking_fees,net_change_fair_value,ng_assets_fv,ng_credit_deriv,ng_sale_loans,ng_other_assets,ng_other_real_estate,net_sec_income,net_servicing_fees,res_mortgages_closed,res_mortgages_open,other_adj_equity,other_nii,rent_other_real_estate,safe_deposit_rent,service_charges,total_nii,total_tr,tr_comm,tr_credit,tr_equity,tr_foreign_ex,tr_int_rt_exp,vc_rev,PRIV.NVC.EWMA,PRIV.NVC.PEA,PRIV.PLACE.FIN.LP.SDC,PRIV.PLACE.FIN.SDC,PRIV.PLACE.NF.SDC,PRIV.TOTAL,PRIV.VC.PWC,MERG.ANN.DOM.CASH,MERG.COMP.DOM.CASH,MERG.COMP.DOM.LIAB,MERG.COMP.DOM.STOCK,MERG.COMP.FOR.CASH,MERG.COMP.FOR.LIAB,MERG.COMP.FOR,MERG.COMP.FOR.STOCK,US GDP,Baltic Dry Index,euro_area_gdp,jp_gdp,gb_gdp,mx_gdp,la_gdp,GSCI,MSCI EURO WORLD INDEX,Henry Hub Natural Gas,Brent Crude Oil,,NF.INV,NF.JUNK,NF.UNRATED,FIN.INV,FIN.JUNK,FIN.UNRATED,ISS.DOM.MFG,ISS.DOM.COMM,ISS.DOM.ELECT,ISS.DOM.TRANS,ISS.DOM.TELE,ISS.DOM.FIN,NF.YANKEE,FIN.YANKEE,SVENPY1000,3Mo Treasury Yield Quarterly Converted,10Yr Treasury Yield Quarterly Converted,U.S. Natural Gas quarterly converted,bbb10yr quarterly converted,VIX,SP500,us ipo
98Q4,1998,4,3833475788,3284747.489,0.000856859,,,,,,4252828.324,1362479.993,,,,,,,479173,,13160,,,,,503323,,,,3284747.489,27849552.08,2242021,184171,,372838,1109983,650029,,15.007,3103.8,112,1755.7,16.9891,6.0712,90,24.5,,,,,,,10498.6,,1.059630436,2.225920151,3.623433483,0.90982,-5.60089,,,1.94,,16170.23833,16170.23833,6872.533333,,56053.96657,525.9,,8088.933333,7090.5,3058.933333,876.9333333,6340.366667,53072.66667,3262.233333,2866.5,4.950066667,4.366666667,4.67,1.916666667,6.637671875,45.74,1121.626406,14
99Q1,1999,1,3824791401,3154402,0.000824725,,,,,,4110165,1581276,,,,,,,552511,,19138,,,,,-107478,,,,3154402,32581124,5081780,252877,,627394,1619086,2582423,,11.0725,2763.9,170.7,436.6,16.6231,6.6677,120,19.853,9.016,114.025,7.238,0.989,8.626,0.399,10592.1,,3.391479051,-3.485768809,2.165352277,5.80083,-2.31608,,112.323,2,,15168.19967,15168.19967,8784.095667,1034.4,64824.5147,1084.533333,2981.133333,9542.9,6636.233333,2098.366667,1537.633333,6093.3,57017.73333,2844.233333,1834.433333,5.3375,4.526666667,4.983333333,1.773333333,6.807,32.98,1260.492623,22.33333333
99Q2,1999,2,3937204933,3244311,0.000824014,,,,,,4061675,1676274,,,,,,,422986,,16236,,,,,307239,,,,3244311,31775987,3622897,159158,,785932,1069548,1608259,,11.0725,5348.3,307.5,1516.9,22.6686,11.2762,120,25.099,16.788,84.039,31.932,1.064,100.62,67.624,10674.9,,2.877094497,1.635360529,1.268411109,0.72613,1.13415,,122.857,2.33,,18765.10167,18765.10167,8409.999,1204.5,60912.10233,1358.266667,3658.066667,11974.23333,6368.733333,3299.5,1688.033333,6926.1,56885.2,4344.966667,4633.8,5.837766667,4.586666667,5.54,2.07,7.201795385,28.9,1329.643651,49
99Q3,1999,3,3950285874,3420027.367,0.000865767,,,,,,4318239,1680108.278,,,,,,,225153.0444,,44372,,,,,254213,,,,3420027.367,32373655.68,2625307,118827,,603032,1004546,898902,,11.0725,6879.7,125,386.8,23.9561,13.3372,100,37.819,12.656,57.272,15.504,5.179,29.996,9.313,10810.7,,4.428410208,-0.380285912,7.128405459,6.51961,2.48097,,116.874,2.32,,18396.86593,18396.86593,5146.028667,953.0666667,62672.57183,358,4399.933333,8909.933333,7074,4042.1,940.9333333,4624.633333,58440.43333,3133.766667,4190.2,6.231266667,4.793333333,5.883333333,2.443333333,7.70840303,28.45,1341.986719,47
99Q4,1999,4,4200281359,3567574.331,0.000849366,,,,,,4469838.184,1608305,,,,,,,131519.2721,,-94433.11029,,,,,8165267,,,,3567574.331,35541597.55,3601168,406745,,1312462,975248,906713,,11.0725,9790.9,4215.8,676.6,35.1202,23.8549,100,29.799,13.625,239.799,19.488,9.081,39.71,11.141,11004.8,,4.540925632,1.852359857,5.435806787,6.97915,6.9486,,144.751,2.3,,11509.154,11509.154,5100.812333,2533.3,35889.23497,924.6,6873.133333,6299.933333,4059.6,2291.866667,1377.1,6598.933333,37457.93333,2720.6,3181.966667,6.4717,5.203333333,6.14,2.48,7.941195455,28.75,1374.098594,50
00Q1,2000,1,4299640062,3521091.329,0.000818927,,,,,,4555716,2254653,,,,,,,640811,,16664.86301,,,,,-253134,,,,3521091.329,40285917.64,5495115,126908,,1918772,1271266,2178169,,19.9885,4778.9,140,961,40.3251,27.927,42.44,26.657,15.637,105.43,13.699,2.877,26.574,9.998,11033.6,,5.266037569,6.790715451,3.952905106,11.01907,5.54598,,152.805,2.88,,15817.41033,15817.41033,5439.428667,4445.866667,56514.023,223.3666667,3865.8,9226.133333,4096,3092.033333,1074.2,8779.533333,44965.06667,3101.166667,2863.966667,6.678733333,5.696666667,6.48,2.663333333,8.200528125,27.01,1420.001429,41
00Q2,2000,2,4373396168,3593322.256,0.000821632,,,,,,4777640,1866362,,,,,,,-9843,,20327,,,,,-70542,,,,3593322.256,34361546.43,4508691,136814,,1891225,1338124,1142528,,19.9885,14352.3,741.4,329.4,40.5138,27.899,69.88,62.777,25.271,387.834,11.815,0.928,53.63,40.887,11248.8,,3.453935726,0.632376346,5.745268778,4.73445,1.14114,,146.767,4.34,,17655.65667,17655.65667,2628.798333,1528.033333,56600.08433,180.6333333,3790.466667,7646.7,5102.266667,2030.133333,1116.266667,8968.6,48141.3,5274.2,4089,6.421233333,5.89,6.176666667,3.223333333,8.465760938,33.49,1446.593651,31
00Q3,2000,3,4475624438,3747934.713,0.00083741,,,,,,4880505.442,1963116.481,,,,,,,1198190,,31120.20995,,,,,156539,,,,3747934.713,37659382.02,4287647,126950,,1076445,1093269,1990983,,19.9885,6510,1274.5,907.8,40.3356,26.294,29.95,24.029,14.977,95.923,28.009,4.404,41.978,9.565,11258.3,,1.774687294,-0.868590948,1.193474853,2.4389,4.33514,,151.037,5.09,,14917.90667,14917.90667,5071.444333,1332.233333,61604.456,485.9333333,4969.133333,10225.7,6691.833333,3338.733333,992.6666667,6851.333333,57176.7,8100.333333,6065.666667,6.118233333,6.2,5.893333333,3.943333333,8.14626875,21.88,1475.978889,44.66666667
00Q4,2000,4,4657207042,4408515.062,0.000946601,,,,,,5076602.293,1685540.744,,,,,,,337020.3333,,15203,,,,,-1187579,,,,4408515.062,40898894.49,3916674,361525,,1274062,1641480,639607,,19.9885,21071.2,8.5,1103.5,37.1977,22.112,33.49,64.394,15.879,72.576,34.894,8.819,70.2,26.487,11325,,2.602032768,2.576765682,0.928600463,-1.14745,4.78752,,132.828,10.5,,15645.43333,15645.43333,2269.528,1409.933333,55063.12303,243.3333333,4480.133333,8382.633333,3091.666667,4655.666667,1971.8,9089.4,50890.83333,9025.7,3802.366667,5.766633333,6.196666667,5.566666667,4.916666667,7.914159375,31.74,1366.310635,15.66666667
01Q1,2001,1,4988877130,4210236.896,0.000843925,209382.5,,,,,4704612.46,2482452.951,8721260,8014602,,,,,515041.7206,204209,1245.271233,1247630,2174666,,,-143057,6566096,,,4210236.896,43669751.86,7221909.677,407802,,2171584,1210472,3432051.677,,15.344,1365.7,15.5,766.6,27.8785,12.787,18.74,23.425,15.688,271.192,9.087,0.15,10.549,1.312,11287.8,,3.711527375,2.855395007,5.427719675,-4.38877,1.85662,,122.589,5.36,,31709.94767,31709.94767,9857.170333,1105.6,79199.95333,713.4,1965.3,15064.63333,10483.53333,6953.6,2050.333333,16471.1,69061.16667,9230.7,5723.5,5.304266667,4.946666667,5.05,5.423333333,7.435560938,32.84,1273.325323,6.666666667
01Q2,2001,2,5103751010,4522728.685,0.000886158,417854,,,,,4776856,2258765,8702087.989,8152989,,,,,675521,341152,20001.8427,1230399,2321495,,,784560.191,6553529,,,4522728.685,38862940.52,3990491,262990,,1063943,1274228,1389330,,15.344,6293.4,2462.5,1891.8,27.8834,11.324,28.74,15.803,7.733,43.573,14.396,5.562,41.444,21.486,11361.7,,0.392326824,-0.968275879,2.664030794,-0.046,-1.07476,,130.85,2.98,,33332.93167,33332.93167,11876.06667,1217.033333,80259.60567,1142.8,2722.666667,13531.26667,12278.36667,7295.7,1869.166667,14252.03333,71236.3,5426.266667,8142.433333,5.499933333,3.746666667,5.27,4.223333333,7.489574603,34.72,1234.251111,8.333333333
01Q3,2001,3,5416098092,4654223.544,0.000859331,477119,,,,,4696281.589,2380095.767,8921350.744,7336019.522,,,,,438627.2444,325552.9333,-52391.93333,2703868.878,2811180.156,,,425666,6628222.356,,,4654223.544,41215215.02,4076348.267,365069,,921333.4444,1328247.633,1461698.189,,15.344,2422,405.1,1244.8,24.6001,8.345,24.82,21.64,12.62,38.23,10.73,1.85,16.64,4.06,11330.4,,0.294067372,-4.156402905,2.172433617,-0.49283,-1.41283,,103.831,1.82,,21784.83367,21784.83367,3313.542,943.3333333,68218.14567,380.4666667,1780.466667,12248.8,7650.5,3296.933333,1920.466667,3029.333333,60111.83333,3198.933333,4522.7,5.244266667,3.24,4.98,3.203333333,7.264781356,43.74,1153.707119,4
01Q4,2001,4,5312752641,4778900.29,0.000899515,592951,,,,,5066170,2082089.324,9608722.798,7129185.132,,,,,658660.0515,81867,10822.17279,3175440,3243984.934,,,836364.75,7768907.93,,,4778900.29,42531169.31,1765636,-597862,,462973,978695,921830,,15.344,22032,2863,2245,25.683,8.085,13.04,12.54,22.06,63.52,12.92,0.41,15.91,2.58,11370,,0.612451852,-0.695370509,1.480203777,-1.75051,0.4722,,115.085,2.7,,29085.964,29085.964,6784.537333,1524,71590.8207,691.1,4568.666667,15943.53333,9177.533333,7447.8,1078.666667,9704.733333,70577,7058.6,7667.666667,5.066933333,1.943333333,4.77,3.203333333,7.185962295,35.31,1115.367656,9
02Q1,2002,1,5312710809,4716709.326,0.000887816,643125.5,,187415,33528,,4321946.427,2269041.197,9278146.556,7447412.888,,,,,598326.9918,-242356.2137,-22428.48493,2475193,3004456.192,,,-591285.1973,8806750.948,150924,,4716709.326,44343076.63,4121982,73455,,716495,1196615,2135417,,9.9803,4901,444.8,1682.2,23.434,6.713,12.17,19.42,8.23,23.65,4.38,5.17,10.14,0.59,11467.1,,0.621375788,-0.633758483,1.686002783,-3.10625,3.63072,,117.469,3.2,,25785.57933,25785.57933,6031.719333,794.1333333,84914.594,720.9333333,2739.066667,14335.8,9164.666667,3752.8,952.9333333,5309.933333,72153.86667,3664.933333,5622.3,5.386833333,1.756666667,5.076666667,2.363333333,7.584493333,26.09,1132.214833,5
02Q2,2002,2,5433611363,4845902,0.000891838,776523,,281856,42784,,4593602,2312778,9922861,7997176,,,,,540284,61404,-6884,2619751,3075278,,,1469911,7580151,172409,,4845902,43415331,2743961,22247,,620275,1367653,733786,,9.9803,2651,219.2,1241.3,21.985,6.019,15.9303,11.6,2.99,37.29,1.7,0.06,2.18,0.42,11528.1,,2.299656721,4.054768316,3.356538146,4.39433,6.53667,,93.863,3.21,,20657.43733,20657.43733,7624.833333,326,77497.9016,1600.933333,9085.366667,10696.16667,10281.9,5039.366667,1340.233333,3460.366667,78081.7,3471.466667,7948.766667,5.349033333,1.746666667,5.1,5.153565891,7.6119125,28.42,1070.149844,11
02Q3,2002,3,5500375898,5017788,0.000912263,1067537,,249009,42524,,4338970,2185508,1659236,6785858,,,,,540459,655039,-27063,3323420,2078733,,,-6291368,7362128,161477,,5017788,32093066,1698650,122121,,-129059,1131225,574363,,9.9803,2010.2,206.6,1003.8,19.9453,4.531,12.8951,15.89,2.33,35.14,3.63,0.05,7.43,3.75,11586.6,,1.199429189,2.628628292,3.42778869,3.27891,3.69119,,76.274,4.07,,12837.42667,12837.42667,1729.133333,60.6,72617.05467,126.9666667,7709.4,4247.966667,4541.633333,3317.466667,708.2,1340.533333,71524.13333,985.6333333,5391,4.533533333,1.673333333,4.26,2.883333333,7.279873438,45.08,895.4907813,2
02Q4,2002,4,5598966940,4984049.18,0.000890173,1271857,,218650,154652,,4153049,2403737.059,7763791.059,7053170,,,,,1001024,718078,-60402,3999113,1503686,,,789891,10320040.32,30566,,4984049.18,42870719.56,1709527,-98343,,357996,1348831,101043,,9.9803,6061.9,327.4,683.7,19.277,4.497,17.086,7.62,0.98,11.42,6,1.22,7.78,0.56,11590.6,,0.139815878,1.500458434,3.816041621,0.73095,3.44631,,77.087,4.59,,14116.60733,14116.60733,4982.333333,261.2333333,79563.30733,370.9666667,6402.133333,9690.633333,4474,4043.533333,199.9,2074.133333,80289.33333,2233.066667,7728.733333,4.2956,1.356666667,4.006666667,3.596666667,7.04480625,42.64,886.528125,6.333333333
03Q1,2003,1,5762843240,4752638,0.000824704,1208590.5,,95812,70930,,4130312,2274077,7416866,6773749,,,,,1646008,39389,-34511,3719872,1822268,,,-2234304,8894446,127048,,4752638,42786930,3995990,157147,,943483,1317588,1577772,,7.1118,,166.4,292.9,18.4557,4.314,11.6088,14.84,1.85,2.59,6.45,3,11.47,2.02,11638.9,,-0.187710641,-2.102150895,2.427634493,0.09232,-2.56455,,70.056,5.01,,18448.975,18448.975,7852,365.2666667,103703.1817,360.1333333,4264.233333,13070.43333,7316.766667,5437.366667,836.7,3928.466667,93335.4,5368.7,8331.833333,4.1588,1.176666667,3.92,5.48,6.470656452,34.69,860.7603279,1.666666667
03Q2,2003,2,6140808670,4904913,0.000798741,1232815,,136433,80259,,4348881,2677600,7726980,7971041,,,,,1695550,636485,-61027,4106239,1101227,,,1428980,9294705,125964,,4904913,45567863,3794150,-5359,,535916,1283961,1979632,,7.1118,0.8,154.1,708.7,19.2769,4.967,19.5187,11.98,1.96,66.17,4.71,1.09,7.81,2.01,11737.5,699,0.279421758,5.079494933,4.942828809,1.65291,0.93883,233.2,77.456,5.35,28.16,22692.51967,22692.51967,14257.86667,3416.166667,105625.235,1379.9,8248.166667,19543.06667,11774.7,7479.7,2363.166667,3333.633333,101524.3,5053.966667,11067.2,3.804566667,1.06,3.62,4.883333333,5.652985714,29.13,937.9942857,1
03Q3,2003,3,6165886411,5103120.556,0.000827638,1196651,,115030,209142,,4421071.372,2723188.122,8022609.294,8010955.094,,,,,4399096,-425425.8444,-51996.48333,4401806,3484029,,,863231,5808964.222,127827,,5103120.556,46728640.21,2774499,216023,,231427,1400023,927026,,7.1118,,34.2,1748,19.9047,4.803,18.0424,14.27,0.64,12.32,0.57,0,0.84,0.27,11930.7,766,1.845926008,1.504413378,4.977995827,-0.62247,3.43154,232.63,79.761,4.68,28.34,12963.11333,12963.11333,11333.5,2411.6854,87233.51967,519.7333333,14618.86667,12588.06667,6492.433333,5924.666667,771.1333333,6167,95358.76667,6148.033333,10310.53333,4.4081,0.95,4.233333333,4.71,6.02040625,22.72,1000.379219,6.333333333
03Q4,2003,4,6240821048,5039453.647,0.000807499,1940668,,119487,190282.761,5.8125,4795770.779,2627358.294,8651211.496,8073729.798,,,,,360423.4485,831634,-24966,3935356,3552050.526,,,374736,11508318.75,139646,7.75,5039453.647,49856365.45,2478584,138071,,432909,1184763,722841,,7.1118,1175.5,545.2,986.9,19.643,5.55,21.4314,13.27,0.52,15.6,0.59,0,3.82,3.23,12038.6,1004,2.860368241,4.432294974,4.886635567,5.01082,4.47064,260.54,83.895,5.8,30.48,13776.63733,13776.63733,10163.5,1580.333333,88228.91733,764.9,18473.26667,14754.9,7491.166667,4538.9,1159.966667,5266.933333,102337.8667,8697.633333,13354.86667,4.436433333,0.933333333,4.286666667,4.446666667,5.836814516,21.07,1056.453125,16.33333333
04Q1,2004,1,6668279758,5018543,0.000752599,2770452.5,,106794,140151,,4911154,3072119,8544578,8756688,,,,,967123,589214,-60263,4595164,2672979,,,24133791,10346052,121154,,5018543,50939944,3973018,263196,,-228988,1751148,2187662,,15.325,352.4,521.1,1755.1,19.7598,5.19,63.625,14.22,0.73,9.37,7.43,0.03,10.09,2.63,12117.9,934,2.069871585,4.144384085,2.984399558,7.15412,8.9915,282.12,88.009,5.65,32.53,10337.07667,10337.07667,13245.76667,1894.366667,96169.35533,1029.933333,26854.8,9789.8,8410.1,6009.5,1416.333333,4059.466667,111560.6667,4941,12124.16667,4.153666667,0.93,4.02,5.116666667,5.452570968,21.58,1132.671774,11.33333333
04Q2,2004,2,6938178244,5249498.822,0.000756611,2904131.5,,79673.46667,151829,,4858667.156,3253376.556,11336321.13,8896154.778,,,,,1226626.689,1345029.511,-799.2888889,3080191,5279563.622,,,2223154,10897331.29,142072,,5249498.822,56208002.04,2987718.333,511841,,2666158.333,559170,-749451,,15.325,892.3,143.1,1109.4,19.8446,6.212,33.6066,20.3,2.83,10.95,4.78,0.39,5.76,0.59,12195.9,1738,2.203087025,-0.0516687,0.956658122,3.47572,6.90407,286.36,89.176,6.03,33.51,7421.786667,7421.786667,9217.366667,1548.2,94845.918,840.8666667,31015.66667,8604.9,7355.733333,3053.466667,867.2333333,1779.5,124256.8667,4404.266667,15396.53333,4.751966667,1.096666667,4.6,5.416666667,6.084141935,19.96,1123.196452,17
04Q3,2004,3,7274662222,5542095.779,0.000761835,2908729.5,,98163.68508,18553,,4954846.028,3081850.917,10472636.23,7968327.917,,,,,492231.9503,396228.4807,-15686.8011,5048450,2116939.68,,,13470488,10448568.18,108505,,5542095.779,49550450.44,1292298,297187,,917091,1019901,-941881,,15.325,,,484.6,17.5593,4.843,45.8534,27.4,1.43,7.1,2.833,0,5.263,2.43,12286.7,1899,1.479628644,0.393323483,0.013060275,2.75767,4.91546,337.73,86.152,6.45,47.49,12623.75067,12623.75067,7832.033333,697.7666667,113959.7433,551.0666667,43967.26667,7839.833333,8268.9,3362.4,979.2,4263.466667,150222.1667,3956.4,13160.13333,4.446066667,1.513333333,4.303333333,5.4,5.7706875,19.34,1103.908125,19
04Q4,2004,4,7643750726,5250033.198,0.00068684,2909159.5,,9083.717949,134888,,4957949.322,3334185.615,13030816.75,10409917.38,,,,,476146.1062,804036.1758,64937.5641,4807667,3680221.744,,,3705736,12582092.41,135317,,5250033.198,59926146.47,2689670.813,-373442,,-372546,1379961,2055697.813,,15.325,,,1255.2,18.9795,5.784,40.508,24.85,2.81,8.64,4.67,0.1,7.46,2.69,12387.2,1413,1.383570594,-0.855916707,2.535881349,4.86371,5.64042,310.47,87.846,6.01,40.24,10361.10033,10361.10033,12187.7,2157.933333,66173.36957,325.1333333,74455.2,9788,7557.766667,4269.466667,1164.633333,6840.1,140216.7333,5262.866667,13125.1,4.3003,2.04,4.173333333,5.883333333,5.439538462,16.57999992,1162.652188,23.66666667
05Q1,2005,1,7952489411,5126524,0.000644644,2950035,,75709,145959,7011,5324689,3363697,9986058,9198539,,,,,766380,164809,8802,3979481,4706921,,,-1040141,11276367,116367,2970,5126524,58512346,5920094,543573,,607163,2665019,2104339,13.3702,7.5059,,,679.2,19.0754,5.026,55.57,26.55,2.12,23.99,6.3,0.29,11.08,4.49,12515,1530,0.760653425,0.798038915,2.468229616,2.34351,0.13887,383.62,90.456,7.44,53.05,6670.442667,6670.442667,7702.466667,1521,65838.23633,785.9,93166.03333,5668.466667,6835.8,3158.833333,1178.7,2952.033333,153660.3,4496.6,15181.46667,4.3828,2.583333333,4.296666667,5.826666667,5.430885246,14.64999962,1191.947869,13.66666667
05Q2,2005,2,8112382372,5605363,0.000690964,2951990.5,,71472,217531,6853,5309038,3225337,10248473,9420759,,,,,1272495,847284,11727,4593213,2401817,,,872357,12337404,96426,2538,5605363,55234002,1760062,401898,,535502,828263,-5601,19.4052,37.5101,,,341,26.0462,6.3,79.122,37.641,4.698,16.284,8.079,0.223,8.665,0.363,12570.7,1773,2.982167438,5.350259874,5.052000864,-0.56842,8.78165,379.79,96.897,7,54.85,11131.41733,11131.41733,5203.466667,993.5,71028.30887,406.9666667,105260.4333,6444.166667,6385.633333,3559.733333,482.6333333,1996.333333,180312.6333,2574.266667,22258.33333,4.238466667,2.926666667,4.16,6.303333333,5.458054688,17.73999977,1181.973438,13.66666667
05Q3,2005,3,8349396650,5789942,0.000693456,3030638,,135932,203818,6756,5335579,3463722,10940279,9381671,,,,,597754,576514,4569,4574184,5311077,,,1483321,13049264,94698,2551,5789942,62666345,5606593,705963,,1716032,1606262,1578336,20.3138,23.0398,,,1056.7,26.9765,5.606,36.585,73.504,13.17,90.243,10.645,0.221,11.079,0.213,12670.5,2446,2.435822319,1.290310273,3.250753287,7.19979,-2.14523,469.56,103.694,14.5,62.56,11173.03333,11173.03333,7161.066667,913.2,59653.69797,534.6666667,122028.5333,8659.166667,9664.1,2672.2,519.3333333,2594.433333,187242.5,5348.2,23057.2,4.287266667,3.433333333,4.213333333,7.38,5.482704688,14.17000008,1224.174375,21.33333333
05Q4,2005,4,8402782524,5752471.044,0.000684591,3146686.5,,111770,201049.5515,6698,5329907.25,3413488.765,10920238.09,10022364.79,,,,,1179986.971,2524364.36,42051.66177,2961204,4214699.265,,,2106970.272,12180955.13,95897,2259,5752471.044,59359411.29,2948145.059,-55970,,875336.0588,1546010,582770,25.6464,41.6442,,,676.1,32.0305,5.708,107.76,42.566,3.241,76.1,11.092,0.068,12.05,0.89,12735.6,2406,2.619469796,0.906528251,4.354093677,5.64137,4.72519,431.72,108.885,9.52,58.87,8878.904667,8878.904667,7089.633333,1027.866667,63162.78283,1021.866667,127316.1333,6652.366667,6780.566667,3362.966667,620.3666667,3638.933333,204981.7,4360.6,30737.26667,4.596133333,3.91,4.49,9.766666667,5.882406557,16.46999931,1230.468254,16
06Q1,2006,1,8821203347,5649565,0.000640453,3336477,,100712,95600,7449,5758770,3419839,10158414,10516201,,,,,914723,228038,32426,4940647,6879958,,,634770,13038460,108504,2643,5649565,66676423,6991139,-293490,,3089124,2169863,2025653,24.0437,19.2355,,,913.5,31.2902,6.333,51.06,76.16,1.67,40.02,15.79,0.77,27.57,11.01,12896.4,2998,3.788656169,1.727200388,2.009009027,7.00763,7.28977,442.52,112.654,6.98,64.94,18489.33167,18489.33167,8866.366667,854.5333333,68643.43883,81.9,116224.322,15089.73333,8784.066667,4185.033333,365.9333333,4898.966667,200032.0333,5740.666667,40497,4.6617,4.503333333,4.57,7.096666667,5.968133871,14.56000042,1283.657097,14
