date,assets,credit_loss_allowances,card_interchange_fees,earnings_life_insurance,atm_fees,check_printing_fees,fiduciary_activities,sale_mutual_funds,insurcance_commissions,investment_banking_fees,net_change_fair_value,ng_assets_fv,ng_credit_deriv,ng_sale_loans,ng_other_assets,ng_other_real_estate,net_sec_income,net_servicing_fees,res_mortgages_closed,res_mortgages_open,other_adj_equity,other_nii,rent_other_real_estate,safe_deposit_rent,service_charges,total_nii,total_tr,tr_comm,tr_credit,tr_equity,tr_foreign_ex,tr_int_rt_exp,vc_rev
07Q2,10488757102,3788911,,214446,122495,8133,7054399,3881544,10487001,14070715,881000,,-20597,116771,910237,1480863,-19234,4604535,4334833,1015464,,1934473,16124197,160998,2903,6763480,75327865,7204806,317434,785420,2105821,1232273,2763858
07Q3,10947826240,4092811.5,,449775,103146,7931,6480057.2444,3689767,10498552,11946665.917,-632000,,213721,81171,-1341685,1859930,-67770,4563588,3424790,599293,,6736216,12667993.1,129284,2351,6977389,54569309.261,-3700378,-748571,-4062075,-1442082,2276348,276002
07Q4,11002466130,4401807.5,,-239583.6103,98568,7643,9289482,4266767,10965853.574,13579949.217,508000,,390801,148906,-847592,1457852,-157204,4118595,3033227.7353,345686.5,,117798.32353,16369401.357,139137,2778,7350105.1949,37346203.077,-28674214,883695,-20044404,-184874,2267818,-11585449
08Q1,11507334249,4437258,2854403,481599,225994,7802,8751780,4298414,11422174,12788818,3941977,-2256132,872362,204195,-1506679,-600411,-232357,2454211,2974491,-379924.5,1426,-3579100,19232500,86317,2497,7071477,50668875,-12213552,1029985,-11154514,-213099,2984102,-4860026
08Q2,11246050742,3941758.5,3122133,530442.66667,298633.97778,7706.2444444,8552738.1556,4273846.8667,11611641.733,12957474.8,2655684,5139850,-460536,-142138,285476.53333,1031546.1556,-209183.1333,1509686,4777432.3778,-923514,17715.5,513831,16354713.111,130949,2629.3111111,7767157.2444,56745001.978,-8154586,557544,-7162468,438513,1879673,-3863078
08Q3,12241046779,3671177,3040062,174163,267319,7248,7815717,3945704,7987483,11961017,2600815,-4221919,843154,275620,-16493,20248,-271896,1468102,3933619,-271530.5,37025.5,16274299,18842413,81750,2647,7933899,50143232,-8906760,279193,-4281674,-539756,2772318,-7141611
08Q4,11400458753,3984571,2947171.6667,588509.66667,275343,7476,7358104.3333,3824586,10264725.667,10873104.667,-891162,-22772406,3055348,464469.66667,-924632.6667,-2023617,-443360.6667,1582139.6667,-307736.6667,-2567205.5,62352.5,-557902,20199278,86062,2840,8321461.3333,26385293.667,-26717114.67,714651.66667,-14976171.33,-1900975.333,4941738.6667,-15499650.33
09Q1,13119782900,4697707.5,6456749,307215,216462,6767,5960080,3623862,11327054,18386102,8019669,-2546471,-248548,40316,2862919,190484,-405387,1991026,5143150,265519.5,87435,-2508434,30436329,96752,8680,7020673,101266902,21040081,4455037,-3353868,4319954,4756060,10862898
09Q2,13006599099,5244433.5,7425754,447920,230329,7874,6238802,3701994,11517724,21818540,-8133806,10409000,-3260295,-154015,1306766,14407678,-261499,-4467,7081044,5776121,36705,9373244,13411739,92486,8470,7259673,100871908,17708968,2282478,597472,2849355,1672989,10306674
09Q3,13197945764,5342100.5,7222950,1035599,226283,8081,5368015,4006622,10814047,20681903,1403856,6390950,-1582494,-87838,2035131,355607,-282477,826544,5249914,4828556.5,-5418,-1587807,22277353,76533,6599,7793216,96211596,19906334,2252177,6589462,4374003,1181650,5509042
