year,quarter,date,entity,assets,credit_loss_allowances,res_mortgages_open,other_adj_equity,fiduciary_activities,total_nii,tr_comm,investment_banking_fees,FI01650,res_mortgages_closed,net_servicing_fees,insurcance_commissions,ng_other_assets,net_sec_income,ng_other_real_estate,rent_other_real_estate,total_tr,check_printing_fees,earnings_life_insurance,atm_fees,safe_deposit_rent,service_charges,net_change_fair_value,card_interchange_fees,vc_rev,tr_int_rt_exp,tr_foreign_ex,tr_credit,tr_equity,ng_sale_loans,ng_credit_deriv,sale_mutual_funds,ng_assets_fv,other_nii,name,rssd9002,ID_RSSD,D_DT_START,D_DT_END,NM_SHORT,DOMESTIC_IND,rank
1990,2,90Q2,1035296,63548000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035296,1035296,1035296,6/1/1987,12/30/1991,MANUFACTURERS HAN CORP,Y,8
1990,2,90Q2,1032473,57341000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032473,1032473,1032473,10/7/1985,4/29/1997,BANKERS TR NY CORP,Y,9
1990,2,90Q2,1023538,55082050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023538,1023538,1023538,1/1/1990,6/30/1990,FIRST INTRST BC,Y,10
1990,2,90Q2,1027095,51712518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027095,1027095,1027095,12/31/1970,6/7/1995,WELLS FARGO & CO,Y,11
1990,2,90Q2,1201028,50361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201028,1201028,1201028,1/31/1990,9/13/1990,FIRST CHICAGO CORP,Y,12
1990,2,90Q2,1033470,48953476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033470,1033470,1033470,10/7/1989,8/10/1993,BANK OF NY CO,Y,13
1990,2,90Q2,1069778,47858597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069778,1069778,1069778,6/29/1989,11/15/1990,PNC FNCL CORP,Y,14
1990,2,90Q2,1068294,40630309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068294,1068294,1068294,11/18/1989,8/17/1990,BANC ONE CORP,Y,15
1990,2,90Q2,1073551,38385583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073551,1073551,1073551,6/30/1990,12/2/1992,FIRST UNION CORP,Y,16
1990,2,90Q2,1112076,37297492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112076,1112076,1112076,12/30/1988,7/8/1993,BANK OF BOSTON CORP,Y,17
